ID	DEPTH	ModFinal	Degree	Indagain0.6
775	26.65987208	1	2	0
2046	26.74855707	1	1	0
2060	26.84385068	1	2	0
1932	26.92692236	1	2	0
2153	26.95655031	1	3	0
950	26.9888592	1	7	4
595	27.11252283	1	1	0
2075	27.40655445	1	1	0
2419	27.4420676	1	4	0
508	27.55162972	1	9	0
1946	27.5835919	1	2	0
1073	27.91445392	1	1	0
138	28.07198752	1	6	0
600	28.10832172	1	2	0
1147	28.1321331	1	5	0
1272	28.16078957	1	1	0
2237	28.16423972	1	1	0
958	28.28449523	1	4	0
565	28.34174037	1	11	4
905	28.35657558	1	3	0
617	28.68161993	1	10	0
1028	28.76731044	1	2	0
1444	28.84410233	1	11	0
1768	28.86740403	1	1	0
42	29.21106502	1	1	0
1747	29.21940915	1	8	0
1862	29.27470556	1	1	0
2422	29.30370589	1	7	0
428	29.33679358	1	11	0
793	29.38730926	1	1	0
2526	29.57355733	1	5	0
2453	29.62470117	1	5	0
613	29.80337545	1	1	0
437	29.9214878	1	14	0
282	29.9496933	1	7	4
2610	29.95495405	1	6	0
1269	29.99443703	1	2	0
691	30.07937886	1	12	0
2190	30.16788604	1	8	0
2114	30.27377054	1	15	0
880	30.32164071	1	3	0
2043	30.400948	1	14	0
2135	30.55007757	1	3	0
2386	30.58057896	1	8	0
1835	30.65494378	1	1	0
1762	30.67685589	1	12	0
2490	30.88665297	1	6	0
1033	30.89687632	1	12	0
1265	31.0126013	1	7	0
220	31.07749712	1	10	0
552	31.08885021	1	17	0
1177	31.15807942	1	4	0
772	31.22436031	1	9	0
378	31.2979841	1	13	0
690	31.32801101	1	10	0
1739	31.44523239	1	11	0
1516	31.55725021	1	1	0
1643	31.74083755	1	3	0
664	31.90277214	1	22	0
1339	31.96688153	1	1	0
815	31.97910852	1	3	0
24	32.18716078	1	3	0
2099	32.22580528	1	12	0
1655	32.37714617	1	3	0
564	32.39199915	1	4	0
389	32.41125959	1	1	0
2187	32.43329318	1	9	0
2369	32.43612829	1	2	0
1422	32.55186367	1	2	0
315	32.61948726	1	11	0
1169	32.68360506	1	5	0
2218	32.85133287	1	8	0
1687	32.89382307	1	2	0
1341	32.95268938	1	16	0
442	33.16451717	1	18	0
2212	33.21270271	1	3	0
