ID	DEPTH	Degree
778	17.54033882	1
1185	17.57276701	1
826	17.62714407	1
1823	17.66669441	1
959	17.73261386	1
1417	17.74768148	1
945	17.75929855	1
1866	17.98656446	1
445	18.00441	1
1839	18.03431415	1
770	18.20712038	1
909	18.2288654	1
2479	18.25618889	1
907	18.46460535	1
1861	18.55637416	1
2174	18.59341982	1
678	18.6352066	1
1276	18.65557027	1
1361	18.67190103	1
2110	18.67309739	1
2201	18.75692132	1
221	18.8500854	1
908	18.93019897	1
365	18.9391933	1
1561	19.00114088	1
1003	19.09984493	1
325	19.14980119	1
1669	19.24938232	1
451	19.29085009	1
2173	19.34960322	1
1213	19.39919411	1
745	19.42268887	1
1689	19.48001384	1
1079	19.52828159	1
1282	19.55018738	1
1337	19.56476522	1
484	19.56828429	1
2409	19.68332836	1
1682	19.77387299	1
2236	19.78528748	1
752	19.82173252	1
1455	19.91137787	1
1879	20.15864216	1
1520	20.17172589	1
190	20.18532642	1
1107	20.19732581	1
1651	20.26040015	1
1914	20.30397006	1
643	20.4317306	1
91	20.70759088	1
1200	20.7524521	1
2306	20.86887372	1
1540	20.89750856	1
377	20.97688058	1
1695	21.23944503	1
1193	21.44141828	1
853	21.49968668	1
466	21.54491758	1
1476	21.58420165	1
1612	22.03146103	1
4	22.1011937	1
1052	22.11006138	1
2554	22.11311657	1
1870	22.11913138	1
1218	22.15407092	1
463	22.16082546	1
1955	22.18246769	1
1488	22.26196153	1
2301	22.40047606	1
1970	22.42721583	1
996	22.43938932	1
1256	22.44457861	1
175	22.50665028	1
935	22.51922375	1
2032	22.52057874	1
867	22.57475572	1
1863	22.61473894	1
1128	22.6567743	1
1209	22.68735354	1
1926	22.75882681	1
2465	22.80506464	1
1712	22.81108097	1
1035	22.85119843	1
71	22.85547508	1
1154	22.8869016	1
534	22.88941353	1
2611	23.01807604	1
2189	23.05667766	1
39	23.06657857	1
1911	23.1643689	1
948	23.1663699	1
1137	23.18579296	1
1741	23.34215696	1
610	23.66068571	1
1831	23.67176167	1
342	23.68653557	1
156	23.70456179	1
1224	23.86963685	1
2151	23.90388035	1
654	24.05124452	1
2523	24.06848092	1
1899	24.07867869	1
472	24.08602845	1
5	24.16080545	1
1979	24.28408586	1
1556	24.39396438	1
1776	24.4183404	1
710	24.47101337	1
406	24.52313655	1
1451	24.5409281	1
1758	24.58664241	1
2244	24.62150959	1
2079	24.64574019	1
2434	24.71624518	1
2268	24.77371986	1
1301	24.77404133	1
1058	24.8536273	1
1157	25.01219422	1
1660	25.29577028	1
144	25.34764982	1
78	25.37998003	1
1335	25.60677946	1
2230	25.63050444	1
1973	25.68320372	1
1262	25.8527367	1
1172	25.86211665	1
81	25.8758507	1
231	25.87887315	1
1802	25.89493206	1
